"Collander, Mr. Erik Gustaf"
"Moen, Mr. Sigurd Hansen"
"Jensen, Mr. Hans Peder"
"Palsson, Mrs. Nils (Alma Cornelia Berglund)"
"Davidson, Mr. Thornton"
"Gustafsson, Mr. Anders Vilhelm"
"Patchett, Mr. George"
"Nakid, Miss. Maria (Mary)"
"Lovell, Mr. John Hall (Henry)"
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)"
"Sobey, Mr. Samuel James Hayden"
"Haas, Miss. Aloisia"
"Herman, Mrs. Samuel (Jane Laver)"
"Chapman, Mr. John Henry"
"McMahon, Mr. Martin"
"Kallio, Mr. Nikolai Erland"
"Widener, Mr. Harry Elkins"
"Elias, Mr. Joseph Jr"
"Hickman, Mr. Lewis"
"Hoyt, Mr. Frederick Maxfield"
"McDermott, Miss. Brigdet Delia"
"Ekstrom, Mr. Johan"
"Beane, Mr. Edward"
"Tomlin, Mr. Ernest Portage"
"Mellinger, Mrs. (Elizabeth Anne Maidment)"
"Milling, Mr. Jacob Christian"
"Frolicher-Stehli, Mr. Maxmillian"
"Frauenthal, Dr. Henry William"
"Celotti, Mr. Francesco"
"Attalah, Miss. Malake"
"Beavan, Mr. William Thomas"
"Bryhl, Mr. Kurt Arnold Gottfrid"
"Farthing, Mr. John"
"Butt, Major. Archibald Willingham"
"Renouf, Mrs. Peter Henry (Lillian Jefferys)"
"Uruchurtu, Don. Manuel E"
"Renouf, Mr. Peter Henry"
"Bjornstrom-Steffansson, Mr. Mauritz Hakan"
"Coleff, Mr. Peju"
"Laroche, Miss. Simonne Marie Anne Andree"
"Smith, Miss. Marion Elsie"
"Dooley, Mr. Patrick"
"Kantor, Mr. Sinai"
"Goodwin, Miss. Lillian Amy"
"Olsen, Mr. Karl Siegwart Andreas"
"Fleming, Miss. Margaret"
"Gallagher, Mr. Martin"
"Panula, Master. Juha Niilo"
"Pain, Dr. Alfred"
"Norman, Mr. Robert Douglas"
"Rood, Mr. Hugh Roscoe"
"Rouse, Mr. Richard Henry"
"Johannesen-Bratthammer, Mr. Bernt"
"Chip, Mr. Chang"
"Bing, Mr. Lee"
"Kelly, Mr. James"
"Hoyt, Mr. William Fisher"
"Connors, Mr. Patrick"
"Laroche, Mr. Joseph Philippe Lemercier"
"Foreman, Mr. Benjamin Laventall"
"Pears, Mrs. Thomas (Edith Wearne)"
"Panula, Mrs. Juha (Maria Emilia Ojala)"
"LeRoy, Miss. Bertha"
"Troutt, Miss. Edwina Celia Winnie"
"Rice, Master. Eric"
"Olsson, Miss. Elina"
"Gustafsson, Mr. Alfred Ossian"
"Montvila, Rev. Juozas"
"Harris, Mr. Walter"
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)"
"Lobb, Mrs. William Arthur (Cordelia K Stanlick)"
"Devaney, Miss. Margaret Delia"
"Daniel, Mr. Robert Williams"
"Trout, Mrs. William H (Jessie L)"
"Petroff, Mr. Nedelio"
"Badt, Mr. Mohamed"
"Cameron, Miss. Clear Annie"
"Lewy, Mr. Ervin G"
"O'Dwyer, Miss. Ellen Nellie"
"Nilsson, Miss. Helmina Josefina"
"Meanwell, Miss. (Marion Ogden)"
"Meek, Mrs. Thomas (Annie Louise Rowley)"
"Hamalainen, Master. Viljo"
"McNamee, Mr. Neal"
"Flynn, Mr. John"
"Hampe, Mr. Leon"
"Alexander, Mr. William"
"Crosby, Miss. Harriet R"
"Wright, Mr. George"
"Jardin, Mr. Jose Neto"
"Goldsmith, Mrs. Frank John (Emily Alice Brown)"
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)"
"Endres, Miss. Caroline Louise"
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)"
"Williams, Mr. Howard Hugh Harry"
"Kassem, Mr. Fared"
"Drazenoic, Mr. Jozef"
"Johnston, Miss. Catherine Helen Carrie"
"Spencer, Mrs. William Augustus (Marie Eugenie)"
"Shorney, Mr. Charles Joseph"
"Mernagh, Mr. Robert"
"Hart, Mr. Henry"
"Panula, Master. Urho Abraham"
"Hedman, Mr. Oskar Arvid"
"Attalah, Mr. Sleiman"
"Goncalves, Mr. Manuel Estanslas"
"O'Brien, Mr. Timothy"
"Boulos, Mrs. Joseph (Sultana)"
"Sage, Miss. Constance Gladys"
"Davies, Mr. Alfred J"
"Blank, Mr. Henry"
"Coutts, Master. William Loch William"
"Morley, Mr. Henry Samuel (Mr Henry Marshall)"
"Dantcheff, Mr. Ristiu"
"Sheerlinck, Mr. Jan Baptist"
"Williams-Lambert, Mr. Fletcher Fellows"
"Calic, Mr. Petar"
"Barah, Mr. Hanna Assi"
"Danbom, Mr. Ernst Gilbert"
"Karlsson, Mr. Nils August"
