Belgium;90.82;90.39;95.00;87.78;96.98;94.00;96.01;97.56;95.33;93.84
Bulgaria;80.27;81.02;85.29;85.51;89.06;88.79;88.86;93.05;94.63;94.75
Czechia;97.66;94.32;95.12;96.72;96.35;99.01;98.05;99.65;99.33;100.00
Denmark;96.26;96.40;97.83;98.59;99.69;98.68;98.26;98.15;99.57;99.03
Germany;93.16;93.67;96.18;94.45;96.75;98.45;97.65;95.81;95.51;94.51
Estonia;96.89;96.11;97.03;96.33;98.85;98.83;99.50;98.61;98.51;100.00
Greece;86.06;87.17;89.99;90.91;94.52;94.34;97.24;99.12;98.24;97.76
Spain;85.24;91.51;91.07;88.58;89.84;91.26;96.21;96.76;98.16;99.91
France;86.52;85.51;90.77;86.46;91.70;92.54;-1;93.38;95.31;95.56
Croatia;82.22;93.93;93.18;92.15;95.98;100.00;100.00;100.00;96.64;97.89
Italy;87.95;88.27;90.27;90.40;91.36;90.76;91.54;96.49;97.09;97.61
Cyprus;88.96;92.11;95.56;98.31;98.80;99.48;98.70;98.55;98.33;99.36
Latvia;94.97;96.25;97.23;95.28;99.59;99.54;96.90;100.00;98.29;99.55
Lithuania;94.71;93.42;96.53;94.99;98.14;98.21;95.93;100.00;98.78;97.99
Luxembourg;93.09;98.59;99.33;96.70;99.65;98.06;98.32;100.00;98.52;99.04
Hungary;91.19;90.70;89.57;93.66;96.99;97.18;96.41;97.47;98.25;99.12
Malta;94.16;97.76;98.22;98.24;100.00;100.00;-1;100.00;100.00;100.00
Netherlands;95.30;91.62;95.57;95.34;95.76;97.55;94.40;96.98;93.75;100.00
Austria;82.79;91.25;92.58;97.92;95.49;99.22;99.32;97.42;96.10;96.94
Poland;90.87;93.67;92.72;98.38;96.83;98.46;99.31;97.91;98.58;98.23
Portugal;89.57;94.07;94.16;95.62;96.26;96.74;99.90;99.86;99.29;99.31
Romania;68.08;78.01;78.58;82.47;91.51;90.60;87.80;95.28;95.20;96.25
Slovenia;96.43;89.83;97.91;92.09;98.90;98.04;94.36;99.01;100.00;99.13
Slovakia;89.36;92.91;97.86;92.67;96.03;96.96;98.88;95.64;98.80;99.08
Finland;92.44;94.53;98.32;98.35;99.11;98.32;99.03;98.89;96.49;100.00
Sweden;92.01;94.23;83.67;94.09;93.76;96.35;95.33;97.54;98.06;98.04
Norway;100.00;98.88;100.00;98.65;98.71;98.55;100.00;97.81;98.30;100.00
Turkiye;49.65;58.39;67.66;76.19;77.31;79.41;82.29;90.09;91.03;92.23
